title,content,url,cnt,source,keyword,image,createdAt,priority
Offensive testing to make Dropbox (and the world) a safer place,"Dropbox invests heavily in our security program. We have lots of teams dedicated to securing Dropbox, each working on exciting things. Some recent examples covered on our tech blog include:And that’s ...",https://blogs.dropbox.com/tech/2018/11/offensive-testing-to-make-dropbox-and-the-world-a-safer-place/,0,dropbox,,,2018-11-16,0
Cross shard transactions at 10 million requests per second,Dropbox stores petabytes of metadata to support user-facing features and to power our production infrastructure. The primary system we use to store this metadata is named Edgestore and is described in...,https://blogs.dropbox.com/tech/2018/11/cross-shard-transactions-at-10-million-requests-per-second/,0,dropbox,"javascript,java,spring,android,database,mongodb,docker,php",,2018-11-09,0
Crash reporting in desktop Python applications,"One of the greatest challenges associated with maintaining a complex desktop application like Dropbox is that with hundreds of millions of installs, even the smallest bugs can end up affecting a very ...",https://blogs.dropbox.com/tech/2018/11/crash-reporting-in-desktop-python-applications/,0,dropbox,"javascript,matlab,react,css,python,database,android,python3,frontend,mongodb,machinelearning,angular,docker,tensorflow",,2018-11-05,0
What we learned at our first JS Guild Summit,"At Dropbox, we work to keep teams flowing—so earlier this month, we convened a group of our frontend engineers to do just that. At the beginning of October, we held the first JS (JavaScript) Guild Sum...",https://blogs.dropbox.com/tech/2018/10/what-we-learned-at-our-first-js-guild-summit/,0,dropbox,"javascript,backend,react,database,frontend,mongodb,angular,docker,python",,2018-10-31,0
Dropbox traffic infrastructure: Edge network,In this post we will describe the Edge network part of Dropbox traffic infrastructure. This is an extended transcript of our NginxConf 2018 presentation. Around the same time last year we described lo...,https://blogs.dropbox.com/tech/2018/10/dropbox-traffic-infrastructure-edge-network/,0,dropbox,"javascript,backend,ruby,react,css,database,mysql,frontend,django,html,docker,php,python",,2018-10-10,0
Using machine learning to index text from billions of images,"In our previous blog posts, we talked about how we updated the Dropbox search engine to add intelligence into our users’ workflow, and how we built our optical character recognition (OCR) pipeline. On...",https://blogs.dropbox.com/tech/2018/10/using-machine-learning-to-index-text-from-billions-of-images/,0,dropbox,,,2018-10-09,0
Validating performance and reliability of the new Dropbox search engine,"Each of the hundreds of our search leaves runs our retrieval engine, whose responsibilities include handling both updating the index when files get created, edited, and deleted (those are “writes”) as...",https://blogs.dropbox.com/tech/2018/10/validating-performance-and-reliability-of-the-new-dropbox-search-engine/,0,dropbox,,,2018-10-02,0
"Architecture of Nautilus, the new Dropbox search engine","Over the last few months, the Search Infrastructure engineering team at Dropbox has been busy releasing a new full-text search engine called Nautilus, as a replacement for our previous search engine.S...",https://blogs.dropbox.com/tech/2018/09/architecture-of-nautilus-the-new-dropbox-search-engine/,0,dropbox,,,2018-09-27,0
How we rolled out one of the largest Python 3 migrations ever,"Dropbox is one of the most popular desktop applications in the world: You can install it today on Windows, macOS, and some flavors of Linux. What you may not know is that much of the application is wr...",https://blogs.dropbox.com/tech/2018/09/how-we-rolled-out-one-of-the-largest-python-3-migrations-ever/,0,dropbox,"python3,ruby,docker,python",,2018-09-25,0
Machine intelligence at Dropbox: An update from our DBXi team,"Our workdays are getting noisier. Never-ending emails, text messages, constant notifications from more apps and more platforms—it’s disruptive and distracting. And then there’s content. All kinds of d...",https://blogs.dropbox.com/tech/2018/09/machine-intelligence-at-dropbox-an-update-from-our-dbxi-team/,0,dropbox,"java,android,caffe,machinelearning,python",,2018-09-13,0
Live-hacking Dropbox @ H1-3120,"In 2018, Dropbox has focused on improving our world-class bug bounty program. From increasing bounties to protecting our researchers, we’re always looking for more creative and meaningful ways to stay...",https://blogs.dropbox.com/tech/2018/09/live-hacking-dropbox-h1-3120/,0,dropbox,"frontend,css",,2018-09-10,0
Migrating from Underscore to Lodash,"The core Dropbox web application is 10 years old and used by millions of users per day. Hundreds of front-end engineers across multiple cities actively work on it. Unsurprisingly, our codebase is very...",https://blogs.dropbox.com/tech/2018/09/migrating-from-underscore-to-lodash/,0,dropbox,"javascript,css,react,jquery,frontend,webpack",,2018-09-05,0
Building better compression together with DivANS,"Compressing your files is a good way to save space on your hard drive. At Dropbox’s scale, it’s not just a good idea; it is essential. Even a 1% improvement in compression efficiency can make a huge d...",https://blogs.dropbox.com/tech/2018/06/building-better-compression-together-with-divans/,0,dropbox,,,2018-06-19,0
Extending Magic Pocket Innovation with the first petabyte scale SMR drive deployment,"Magic Pocket, the exabyte scale custom infrastructure we built to drive efficiency and performance for all Dropbox products, is an ongoing platform for innovation. We continually look for opportunitie...",https://blogs.dropbox.com/tech/2018/06/extending-magic-pocket-innovation-with-the-first-petabyte-scale-smr-drive-deployment/,0,dropbox,"frontend,animation,docker,python",,2018-06-12,0
"Security culture, the Dropbox way","The Dropbox Security Team is responsible for securing around 1 exabyte of data, belonging to over half a billion registered users across the world. The responsibility for securing data at this scale e...",https://blogs.dropbox.com/tech/2018/06/security-culture-the-dropbox-way/,0,dropbox,,,2018-06-01,0
How we’re winning the battle against flaky tests,"Testing is a crucial part of maintaining a code base, but not all tests validate what they’re testing for. Flaky tests—tests that fail sometimes but not always—are a universal problem, particularly in...",https://blogs.dropbox.com/tech/2018/05/how-were-winning-the-battle-against-flaky-tests/,0,dropbox,,,2018-05-16,0
Introducing WebAuthn support for secure Dropbox sign in,"The easiest way to keep a secret is to not tell it to anyone. Unfortunately passwords don’t work that way. Every time you sign in you have to tell the website your password, making it more challenging...",https://blogs.dropbox.com/tech/2018/05/introducing-webauthn-support-for-secure-dropbox-sign-in/,0,dropbox,,,2018-05-08,0
MacOS monitoring the open source way,Let’s say a machine in your corporate fleet gets infected with malware. How would you detect it? How could you find out what happened on the machine? What did the malware do? Did it steal your browser...,https://blogs.dropbox.com/tech/2018/04/4696/,0,dropbox,"bitcoin,blockchain,docker,python",,2018-04-26,0
Protecting Security Researchers,"At Dropbox, we encourage, support, and celebrate independent open security research.One way we do this is via our bug bounty program. We recently tripled our rewards to industry leading values. We als...",https://blogs.dropbox.com/tech/2018/03/protecting-security-researchers/,0,dropbox,,,2018-03-21,0
"Meet Bandaid, the Dropbox service proxy","With this post we begin a series of articles about our Service Oriented Architecture components at Dropbox, and the approaches we took in designing them. Bandaid, our service proxy, is one of these co...",https://blogs.dropbox.com/tech/2018/03/meet-bandaid-the-dropbox-service-proxy/,0,dropbox,docker,,2018-03-01,0
Security at scale: the Dropbox approach,The Dropbox Security Team is responsible for securing over 500 petabytes of data belonging to over half a billion registered users across hundreds of thousands of businesses. Securing data at this sca...,https://blogs.dropbox.com/tech/2018/02/security-at-scale-the-dropbox-approach/,0,dropbox,,,2018-02-13,0
Balancing open source and proprietary IP—they can co-exist,"Open source software can provide significant benefits to an organization—it can decrease product development time, distribute development across a community, and attract developers to your organizatio...",https://blogs.dropbox.com/tech/2017/12/balancing-open-source-and-proprietary-ip-they-can-co-exist/,0,dropbox,,,2017-12-13,0
Improving Document Preview Performance,"Ever open a file on dropbox.com, or click a shared link your coworker sent you? Chances are you didn’t need to download the file to see it—you saw it right in the browser. This is the work of the Prev...",https://blogs.dropbox.com/tech/2017/12/improving-document-preview-performance/,0,dropbox,,,2017-12-01,0
Dropbox Paper: Emojis and Exformation,"Communication is hard 😖 (it’s ok, little buddy, we’re gonna talk about some tools to combat this). When it comes to conveying a message with other human beings you have to make sure to speak clearly, ...",https://blogs.dropbox.com/tech/2017/11/dropbox-paper-emojis-and-exformation/,0,dropbox,"machinelearning,python,tensorflow",,2017-11-15,0
Deploying IPv6 in Dropbox Edge Network,"In the past few months, we have gradually enabled IPv6 for all user-facing services in Dropbox edge network. We are serving about 15% of daily user requests in IPv6 globally. In this article, we share...",https://blogs.dropbox.com/tech/2017/11/deploying-ipv6-in-dropbox-edge-network/,0,dropbox,,,2017-11-09,0
Handling system failures during payment communication,"Handling system failures during payment processing requires real-time identification of the issues in addition to offline detection, with the goal of eventual consistency. No matter what goes wrong, o...",https://blogs.dropbox.com/tech/2017/09/handling-system-failures-during-payment-communication/,0,dropbox,,,2017-09-29,0
Updates on the Dropbox Bug Bounty Program,"We first launched our bug bounty program in 2014, with initial bounties for critical bugs in the range of $5,000, ramping up to (currently) over $10,000 for critical bugs. Over the past three years, l...",https://blogs.dropbox.com/tech/2017/09/updates-on-the-dropbox-bug-bounty-program/,0,dropbox,,,2017-09-20,0
Infrastructure update: evolution of the Dropbox backbone network,"In our previous post, we provided an overview of the global edge network that we deployed to improve performance for our users around the world. We built this edge network over the last two years as p...",https://blogs.dropbox.com/tech/2017/09/infrastructure-update-evolution-of-the-dropbox-backbone-network/,0,dropbox,"backend,docker,django,cloud,python",,2017-09-15,0
