title,content,url,cnt,source,keyword,image,createdAt,priority
Delivering Meaning with Previews on Web,"As the Netflix catalog of films and series continues to grow, it becomes more challenging to present members with enough information to decide what to watch. How can a member tell if a movie is both a...",https://medium.com/netflix-techblog/delivering-meaning-with-previews-on-web-3cedc0341b9e?source=collection_home---4------0---------------------,0,netflix,,https://cdn-images-1.medium.com/max/1600/0*1YxarEvuK1kZjF5n,2018-11-12,0
Netflix Hack Day — Fall 2018,"by Tom Richards, Carenina Motion, Ruslan Meshenberg, Leslie Posada, and Kaely CoonHack Days are a big deal at Netflix. They’re a chance to bring together employees from all our different disciplines t...",https://medium.com/netflix-techblog/netflix-hack-day-fall-2018-c05dda4b98c1?source=collection_home---4------0---------------------,0,netflix,"css,python,html,frontend,php",https://cdn-images-1.medium.com/max/2000/1*eoQGL8bMVSbtsT5iO9kvwQ.jpeg,2018-11-07,0
Scaling Time Series Data Storage — Part II,"In January 2016 Netflix expanded worldwide, opening service to 130 additional countries and supporting 20 total languages. Later in 2016 the TV experience evolved to include video previews during the ...",https://medium.com/netflix-techblog/scaling-time-series-data-storage-part-ii-d67939655586?source=collection_home---4------1---------------------,0,netflix,"css,react,javascript,python,frontend",https://cdn-images-1.medium.com/max/1600/0*3Br_cdNlxiCHwG-7,2018-11-05,0
Netflix Media Database — the Media Timeline Data Model,"In the previous post in this series, we described some important Netflix business needs as well as traits of the media data system — called “Netflix Media DataBase” (NMDB) that is used to address them...",https://medium.com/netflix-techblog/netflix-mediadatabase-media-timeline-data-model-4e657e6ffe93?source=collection_home---4------0---------------------,0,netflix,"sass,frontend,animation",https://cdn-images-1.medium.com/max/1600/0*ms6LXXb9-Z8kOgIa,2018-10-31,0
The New Netflix Stethoscope Native App,"We are happy to announce the next big release in user focused security, the Stethoscope native app. The new native app includes basic device health recommendations with inline clickable instructions o...",https://medium.com/netflix-techblog/the-new-netflix-stethoscope-native-app-f4e1d38aafcd?source=collection_home---4------1---------------------,0,netflix,,,2018-10-30,0
VMAF: The Journey Continues,"by Zhi Li, Christos Bampis, Julie Novak, Anne Aaron, Kyle Swanson, Anush Moorthy and Jan De CockHow will Netflix members rate the quality of this video — poor, average or excellent? Which video clip l...",https://medium.com/netflix-techblog/vmaf-the-journey-continues-44b51ee9ed12?source=collection_home---4------2---------------------,0,netflix,"react,frontend,css,docker",https://cdn-images-1.medium.com/max/1600/1*rCKqz0kP_oyPQu5fuPq6xg.png,2018-10-25,0
"Lumen: Custom, Self-Service Dashboarding For Netflix",Netflix generates a lot of data. One of the ways that we gain useful insights is by visualizing that data in dashboards which allow us to comprehend large amounts of information quickly. This is parti...,https://medium.com/netflix-techblog/lumen-custom-self-service-dashboarding-for-netflix-8c56b541548c?source=collection_home---4------0---------------------,0,netflix,"webpack,angular,javascript,react,python,frontend",,2018-10-17,0
The Netflix Media Database,Let us imagine we are working on the next generation adaptive video streaming algorithm. Our goal is to minimize the playback startup time for the millions of Netflix members all over the world. To do...,https://medium.com/netflix-techblog/the-netflix-media-database-nmdb-9bf8e6d0944d?source=collection_home---4------1---------------------,0,netflix,"mysql,db,database,php,sql,backend",https://cdn-images-1.medium.com/max/1600/0*umykoOhuLpIOfhC3,2018-10-15,0
Rethinking Netflix’s Edge Load Balancing,"By Mike Smith, Netflix Cloud GatewayWe briefly touched on some of the load balancing improvements we’ve recently been making in our Open Sourcing Zuul 2 post. In this post, we’ll go into more detail o...",https://medium.com/netflix-techblog/netflix-edge-load-balancing-695308b5548c?source=collection_home---4------2---------------------,0,netflix,"animation,python,frontend,docker",https://cdn-images-1.medium.com/max/1600/0*oX4q5hZRI5p16MMv,2018-09-28,0
Netflix’s Production Technology = Voltron,"by Chris GossChange management is hard. In everyday production, there are numerous factors working against embracing change. Limited preparation time, whole new show = whole new crew, innumerable plan...",https://medium.com/netflix-techblog/netflixs-production-technology-voltron-ab0e091d232d?source=collection_home---4------3---------------------,0,netflix,,https://cdn-images-1.medium.com/max/1600/0*f-bvyajCHlLB8jWn,2018-09-26,0
