title,content,url,cnt,source,keyword,image,createdAt,priority
Sirin to ship its first blockchain-enabled smartphone," Swiss-based Sirin Labs plans to ship its first blockchain-enabled smartphone on Thursday; the device will give users a secure method to access cryptocurrency exchanges, store their digital currency o...",https://www.computerworld.com/article/3324485/mobile-wireless/sirin-to-ship-its-first-blockchain-enabled-smartphone.html#tk.rss_all,0,computerworld,,,2018-11-28,0
That bus rolls both ways," Programmer pilot fish's new boss calls an all-hands meeting so she can get to know the IT staff, which is spread across the country.""We all flew in to meet in a hotel conference room,"" says fish. ""Th...",https://www.computerworld.com/article/3322906/it-careers/that-bus-rolls-both-ways.html#tk.rss_all,0,computerworld,,,2018-11-28,0
WhatsApp at work: Companies grapple with a popular ad hoc tool," Popular consumer technology often makes the jump from the personal to the professional. AOL Instant Messenger, the iPhone and Facebook, for example, started off as consumer apps and devices and quick...",https://www.computerworld.com/article/3322621/collaboration/whatsapp-at-work-companies-grapple-with-a-popular-ad-hoc-tool.html#tk.rss_all,0,computerworld,android,,2018-11-28,0
Office 365: A guide to the updates, Office 365 subscribers always have the latest version of Microsoft Office — currently Office 2016. They also get more frequent software updates than those who have purchased Office 2016 without a sub...,https://www.computerworld.com/article/3205187/enterprise-applications/office-365-a-guide-to-the-updates.html#tk.rss_all,0,computerworld,,,2018-11-27,0
Microsoft's multi-factor authentication service flakes out – again," Just one day after Microsoft came clean with an explanation of a Nov. 19 outage that blocked users of Office 365 from logging into their accounts using Multi-Factor Authentication (MFA), today the se...",https://www.computerworld.com/article/3323382/office-software/microsofts-multi-factor-authentication-service-flakes-out-again.html#tk.rss_all,0,computerworld,,,2018-11-27,0
Microsoft cheat sheets: Dive into Windows and Office apps, Need to get up to speed on the latest features in Excel 2016? Wrestling with an old version of Word? Looking to get more out of Windows 10? Computerworld’s cheat sheets are easy-to-use guides to help...,https://www.computerworld.com/article/3199247/microsoft-office/microsoft-cheat-sheets-dive-into-windows-and-office-apps.html#tk.rss_all,0,computerworld,"javascript,python,frontend",,2018-11-27,0
The definitive Windows 7 retirement timeline countdown," In about 400 days, Windows 7 will get the support guillotine.Microsoft has set the end of general support - the kind that's free to all, and at this point exclusively patches to quash vulnerabilities...",https://www.computerworld.com/article/3322618/microsoft-windows/the-definitive-windows-7-retirement-timeline-countdown.html#tk.rss_all,0,computerworld,"frontend,sass",,2018-11-27,0
How to use your iPad Pro as a laptop replacement (Part 6)," We’ve been looking at how to use an iPad Pro to replace a laptop for many tasks. In this chapter, we share several tips to help you be more productive with your Apple tablet.Episode guide: Part One: ...",https://www.computerworld.com/article/3323062/mobile-wireless/how-to-use-your-ipad-pro-as-a-laptop-replacement-part-6.html#tk.rss_all,0,computerworld,,,2018-11-27,0
"New beta-test version of Win10 1809 arrives, and — mirabile dictu! — it’s in the Release Preview ring"," Two weeks ago we witnessed an amazing change in Microsoft’s approach to patching Windows 10. For the first time, Microsoft pushed a test version of a cumulative update to Win10 1809 out through the W...",https://www.computerworld.com/article/3324596/microsoft-windows/new-beta-test-version-of-win10-1809-arrives-and-mirabile-dictu-its-in-the-release-preview-ring.html#tk.rss_all,0,computerworld,,,2018-11-27,0
Now THAT'S the old-school way to pull wire!, It's been a few years since Sharky passed along some tales of IT people recruiting animals to pull network wire through some inconvenient places -- but now one pilot fish may have found the grandaddy...,https://www.computerworld.com/article/3324241/networking/now-thats-the-old-school-way-to-pull-wire.html#tk.rss_all,0,computerworld,,,2018-11-27,0
Outlook 2016 cheat sheet," The pundits will have you believe email is being supplanted by texting, social media, chat apps like Slack, and direct communications software such as Skype and Google Hangouts Meet.Don’t believe the...",https://www.computerworld.com/article/3321417/microsoft-office/outlook-2016-cheat-sheet.html#tk.rss_all,0,computerworld,,,2018-11-27,0
Windows Hello for Business: Next-gen authentication for Windows shops,"Authentication: the act of proving one’s identity to the satisfaction of some central authority. To most, this process means typing in a username and a password. It’s been this way for years and years...",https://www.computerworld.com/article/3220967/microsoft-windows/windows-hello-for-business-next-gen-authentication-for-windows-shops.html#tk.rss_all,0,computerworld,,,2018-11-26,0
Ohio becomes the first state to accept bitcoin for tax payments," Ohio this week began accepting bitcoin as a form of tax payment from businesses, making it the first U.S. state to do so.The Ohio Treasurer's office said it is working to help make the state a nation...",https://www.computerworld.com/article/3322851/blockchain/ohio-becomes-the-first-state-to-accept-bitcoin-for-tax-payments.html#tk.rss_all,0,computerworld,,,2018-11-26,0
"IDG Contributor Network: Amazon Echo sets the bar for the perfect PC, smartphone or tablet upgrade experience", Back in the 1990s I became concerned that it took way too long for someone to provision a new laptop. What brought this to my attention was when Intel was recommending users get laptops every two yea...,https://www.computerworld.com/article/3323362/amazon-com/amazon-echo-sets-the-bar-for-the-perfect-pc-smartphone-or-tablet-upgrade-experience.html#tk.rss_all,0,computerworld,,,2018-11-26,0
Apple feels the tech transition heat," Supplier rumor combined with Apple’s decision to stop revealing iPhone sales data may have hurt the company’s notional market cap a little, but company watchers should think a little more deeply.Is i...",https://www.computerworld.com/article/3322510/mobile-wireless/apple-feels-the-tech-transition-heat.html#tk.rss_all,0,computerworld,"javascript,frontend,animation,css,jquery,react",,2018-11-26,0
What is Windows Hello? Microsoft’s biometrics security system explained," Windows Hello is a biometrics-based technology that enables Windows 10 users to authenticate secure access to their devices, apps, online services and networks with just a fingerprint, iris scan or f...",https://www.computerworld.com/article/3244347/microsoft-windows/what-is-windows-hello-microsofts-biometrics-security-system-explained.html#tk.rss_all,0,computerworld,android,,2018-11-26,0
"IDG Contributor Network: AT&T, Verizon, mobile 5G and what’s coming next in wireless"," In the race to mobile 5G, it seems AT&amp;T and Verizon are in it to be first. While I understand there is an honor that goes to the winner, in the scheme of things does it really make much of a diff...",https://www.computerworld.com/article/3322844/mobile-wireless/atandt-verizon-mobile-5g-and-what-s-coming-next-in-wireless.html#tk.rss_all,0,computerworld,,,2018-11-26,0
"See, this is how reputations are made"," One division's database group at this Fortune 1000 company consists of a pilot fish and his manager -- except the manager isn't around.""She was out for months, recovering from liver surgery, leaving ...",https://www.computerworld.com/article/3323579/it-careers/see-this-is-how-reputations-are-made.html#tk.rss_all,0,computerworld,,,2018-11-26,0
10 highly useful add-ins for Microsoft Office,"The tools available in Microsoft Office are highly versatile, but sometimes you want to do something that Word, Excel, PowerPoint and Outlook can’t accommodate. Chances are good, though, that you can ...",https://www.computerworld.com/article/3320858/microsoft-office/10-highly-useful-add-ins-for-microsoft-office.html#tk.rss_all,0,computerworld,,,2018-11-26,0
What Apple is doing in 2019," Silly season has hit us once again, and with every website offering some kind of take on Black Friday shopping posts I thought I’d sketch a few notes on some of the all-new Apple products and service...",https://www.computerworld.com/article/3323361/mobile-wireless/what-apple-is-doing-in-2019.html#tk.rss_all,0,computerworld,,,2018-11-23,0
Will Cortana go the way of Windows Phone?," “Say goodbye, Cortana.”That might be what Microsoft is contemplating saying to its struggling digital assistant. Cortana, or at least Cortana as we know it today, could end up on the Microsoft scrap ...",https://www.computerworld.com/article/3322963/mobile-wireless/will-cortana-go-the-way-of-windows-phone.html#tk.rss_all,0,computerworld,,,2018-11-23,0
